Number Goods: 12,  Number Bidders: 100,  Number Iterations: 2000
integral util | fractional util
2.5 | 2.52
1.2 | 1.32
2 | 2.57
1 | 1.21
2.5 | 2.88
2.3 | 3.4
3.6 | 3.71
1.15 | 2.04
2.55 | 2.66
1.1 | 1.97
1.15 | 1.8
2.5 | 2.88
1.05 | 1.32
3.75 | 4.59
2.2 | 2.76
0 | 0.476
2.55 | 4.24
0 | 0.982
3 | 3.57
3 | 3.18
3.45 | 3.91
1.25 | 1.56
1.15 | 2.17
2.5 | 3.47
2.2 | 3.26
0 | 1.04
2.2 | 3.06
4.4 | 4.46
1.15 | 1.98
2.35 | 3.8
2 | 2.39
0 | 1.04
0 | 0.961
2.5 | 3.02
3.3 | 4.02
1.9 | 3.29
1.1 | 1.31
2.5 | 3.22
2.7 | 3.01
3.15 | 3.62
3.3 | 4.36
2.05 | 3.74
2.4 | 3.42
3 | 3.65
1 | 1.63
1.2 | 1.42
3.3 | 3.63
2.7 | 2.85
2 | 2.51
2.4 | 3.57
1.1 | 1.21
3.9 | 4.79
0 | 0.514
3.45 | 3.9
1.15 | 2.52
2.6 | 3.24
1.05 | 1.99
2 | 2.79
2.7 | 3.33
2.6 | 3.73
2.3 | 3.36
2.55 | 3.11
1.9 | 2.6
1.7 | 1.78
2.4 | 3.09
2.05 | 3.53
2.1 | 2.73
1.2 | 1.88
0 | 0.654
0.85 | 1.09
1.15 | 1.89
3.9 | 4.75
1.2 | 1.88
3.8 | 3.95
3.6 | 4.49
0 | 0.653
1.2 | 1.5
2 | 2.7
2.4 | 3.46
1 | 1.99
1 | 1.69
1.3 | 3.12
1.3 | 2.06
2.3 | 2.65
2.2 | 2.29
0 | 0.189
3.3 | 3.88
1.1 | 1.41
3.15 | 3.45
2.85 | 3.03
2.4 | 2.76
3.45 | 3.48
2.5 | 2.61
1.05 | 2.08
1.3 | 2.57
2.7 | 3.38
3.9 | 4.39
0 | 0.48
0 | 0.911
2.6 | 3.25
2.4 | 3.33
0.95 | 1.31
1.1 | 2.08
3.6 | 4.33
1.3 | 1.59
3.6 | 3.82
1.8 | 2.17
2.6 | 3.02
3.9 | 4.41
0 | 1.07
3.3 | 3.79
3.75 | 4.31
2.5 | 2.76
0 | 0.575
5 | 5.09
2.1 | 2.89
3 | 3.16
1.15 | 1.85
2.3 | 3.45
2.5 | 3.58
0.95 | 1.41
2.3 | 2.56
1.25 | 1.93
2.1 | 2.57
4.2 | 4.34
1.9 | 2.64
2 | 2.34
1.05 | 2.09
2.2 | 2.68
2.85 | 3.22
4.8 | 4.81
3.3 | 3.54
1.25 | 2.34
2.5 | 2.65
3.45 | 4.45
2.2 | 2.57
2.5 | 3.22
1.1 | 2.2
3.45 | 3.45
2.1 | 2.83
2 | 2.12
0 | 0.739
3.6 | 4.64
3.15 | 3.66
3.75 | 4.77
1.25 | 1.67
0 | 1.07
2.4 | 3.25
1.05 | 1.45
2.4 | 2.91
2.5 | 3.05
2.85 | 2.95
2.4 | 2.54
3.6 | 3.6
0 | 0.533
2.2 | 3.2
2.2 | 3.3
1.9 | 2.45
2.6 | 3.03
2.3 | 3.62
3.3 | 4.03
2.6 | 3.17
2 | 2.58
1.2 | 2.4
1.15 | 1.65
4.4 | 4.55
3.6 | 4.28
0.95 | 1.2
1.25 | 1.53
2.4 | 2.54
0.9 | 1.27
4.4 | 4.84
3.15 | 3.38
