Number Goods: 46,  Number Bidders: 900,  Number Iterations: 2000
integral util | fractional util
0 | 1.01
0 | 0.298
0 | 1.13
1.2 | 1.26
1.3 | 2.35
1.25 | 2.38
0 | 1.09
1.1 | 1.47
0 | 0.343
1.2 | 1.72
0 | 1.12
0 | 0.806
1.25 | 1.98
1.2 | 1.43
0 | 0.775
0 | 0.501
1.3 | 1.61
1.3 | 2.05
1.3 | 1.49
1.3 | 1.55
0 | 0.952
0 | 0.682
1.25 | 2.44
1.25 | 1.97
1.3 | 1.86
0 | 0.343
0 | 1.17
0 | 0.93
0 | 0.768
1.25 | 2.05
0 | 0.973
1.2 | 1.43
1.15 | 1.7
0 | 1.03
1.25 | 1.43
0 | 1.18
0 | 0.172
1.25 | 2.48
0 | 1.03
1.3 | 2.05
1.2 | 1.6
0 | 0.434
1.25 | 1.85
0 | 0.493
0 | 1.2
0 | 0.837
0 | 0.286
0 | 1.13
1.2 | 1.26
1.25 | 1.49
1.2 | 2.06
1.2 | 2.08
0 | 0.496
0 | 0.62
0 | 0.417
1.25 | 1.55
1.3 | 1.61
1.15 | 1.32
0 | 0.62
0 | 1.03
1.05 | 1.15
1.2 | 1.83
1.3 | 1.61
0 | 1.07
0 | 0.524
1.2 | 1.55
0 | 1.54
0 | 0.417
1.2 | 1.6
1.25 | 2.09
1.25 | 2.09
0 | 0.682
1.15 | 1.62
1.2 | 1.95
0 | 0.408
0 | 0.186
1.25 | 1.92
0 | 1.79
1.25 | 1.61
0 | 0.97
1.3 | 2.11
0 | 0.641
1.2 | 1.86
0 | 1.24
1.3 | 1.86
0 | 0.915
0 | 0.744
0 | 0.11
0 | 0.93
0 | 0.868
0 | 1.04
0 | 1.04
0 | 0.62
1.25 | 2.26
1.3 | 1.55
0 | 1.03
0 | 0.536
0 | 0.806
0 | 0.757
0 | 0.744
0 | 0.768
0 | 0.682
0 | 0.682
0 | 1.1
1.25 | 1.49
1.3 | 1.35
0 | 0.85
0 | 1.19
1.2 | 1.75
0 | 0.434
1.25 | 1.61
1.25 | 1.85
1.25 | 1.43
0 | 0.458
1.15 | 1.59
1.2 | 1.72
1.15 | 2.14
0 | 1.15
1.15 | 2.03
1.2 | 1.32
0 | 0.775
1.2 | 1.25
1.3 | 2.15
0 | 0.915
0 | 0.744
0 | 0.536
1.25 | 1.8
1.1 | 1.82
0 | 0.822
0 | 1.13
1.1 | 1.26
1.2 | 2
1.2 | 1.77
0 | 1.19
1.2 | 2
1.3 | 2.11
0 | 0.869
0 | 1.12
1.2 | 1.79
1.3 | 2.11
0 | 0.514
1.3 | 2.42
0 | 1.03
1.2 | 1.43
0 | 0.372
1.1 | 1.64
0 | 0.6
1.3 | 1.43
0 | 0.417
0 | 1.05
0 | 0.687
0 | 0.744
1.25 | 1.37
0 | 0.992
1.25 | 1.91
0 | 1.24
1.2 | 1.79
0 | 0.238
0 | 0.372
0 | 1.05
1.25 | 1.49
1.25 | 1.36
1.2 | 1.77
1.15 | 1.66
0 | 0.667
1.25 | 1.97
1.25 | 2.2
0 | 0.806
0 | 0.787
1.1 | 1.52
1.3 | 1.55
1.3 | 2.42
1.15 | 1.43
0 | 0.858
0 | 0.715
1.2 | 1.26
1.25 | 1.36
0 | 1.12
0 | 1.05
0 | 1.43
0 | 0.801
1.15 | 2.08
0 | 1.07
0 | 0.62
1.25 | 1.91
0 | 1.61
1.3 | 1.36
1.2 | 2.12
0 | 0.536
1.15 | 2.08
0 | 2.05
0 | 0.425
1.25 | 1.27
0 | 0.477
0 | 1.01
0 | 1.01
0 | 1
0 | 1.67
0 | 0.806
1.25 | 2.32
1.25 | 2.03
0 | 0.658
1.3 | 2.23
1.25 | 1.49
0 | 0.384
1.25 | 1.73
1.2 | 1.2
1.3 | 1.49
0 | 0.372
0 | 0.358
1.25 | 1.27
1.25 | 2.2
1.3 | 2.23
1.15 | 1.43
1.25 | 1.25
0 | 0.434
1.2 | 1.32
1.3 | 1.49
0 | 0.915
0 | 0.894
1.2 | 1.49
1.2 | 1.72
1.25 | 1.49
0 | 0.894
0 | 0.894
0 | 0.987
0 | 0.969
0 | 0.31
0 | 0.228
1.3 | 1.86
0 | 1.19
1.1 | 1.84
1.2 | 1.55
1.1 | 1.47
1.3 | 2.48
0 | 0.558
1.1 | 1.89
1.15 | 1.28
0 | 0.915
1.3 | 1.98
1.15 | 1.26
0 | 1.6
0 | 0.524
1.25 | 1.49
0 | 1.01
0 | 0.801
1.1 | 1.78
0 | 1.24
0 | 1.21
1.25 | 1.8
1.25 | 2.05
1.2 | 1.83
0 | 0.744
0 | 1.05
0 | 1.03
0 | 0.372
1.25 | 1.43
0 | 0.515
0 | 0.286
1.25 | 1.55
0 | 0.713
1.2 | 1.37
0 | 1.01
0 | 0.656
0 | 0.179
1.3 | 1.93
1.3 | 1.55
1.25 | 2.42
0 | 0.728
0 | 0.641
0 | 0.742
0 | 0.801
1.2 | 2.23
1.25 | 2.26
1.3 | 1.35
0 | 0.801
1.25 | 1.43
1.2 | 1.66
0 | 0.868
0 | 0.992
1.15 | 1.97
1.25 | 2.15
