Number Goods: 12,  Number Bidders: 150,  Number Iterations: 2000
integral util | fractional util
0 | 0.671
2.5 | 2.69
0 | 1.05
1.1 | 1.51
2 | 2.28
1.05 | 1.2
0 | 1.09
1.3 | 2.17
1.25 | 1.9
0 | 0.703
1.25 | 2.47
0 | 0.938
1.1 | 1.58
0 | 0.874
2.5 | 3.26
1.2 | 1.91
3.3 | 3.33
1.3 | 1.38
0 | 0.767
1.15 | 2.1
2.6 | 2.98
0 | 1.05
2.3 | 3.43
1.2 | 2.19
1.1 | 1.93
2.1 | 2.34
2.5 | 2.91
0 | 1.19
2.3 | 2.89
2.6 | 2.66
2.3 | 2.85
0 | 1
2.4 | 3.13
2.2 | 2.76
0.95 | 1.66
0 | 1.1
2.5 | 2.94
1.1 | 1.92
0 | 0.851
0 | 0.501
2.4 | 2.77
1.2 | 1.56
1.2 | 1.92
1.15 | 1.56
1.1 | 2.26
0 | 1.25
2.3 | 2.76
1.2 | 1.83
0 | 1.13
1 | 1.76
0.9 | 1.29
2.5 | 2.65
2.2 | 2.72
1.05 | 1.95
0 | 0.922
1.2 | 1.53
2.5 | 3.03
0.95 | 1.87
1.9 | 2.66
1 | 1.04
3.15 | 3.36
1.8 | 2.37
2 | 2.4
2.45 | 2.85
1.1 | 1.49
0 | 1
2.1 | 3.02
1.05 | 1.51
2.2 | 2.99
1.1 | 1.17
0 | 0.357
0 | 0.581
2.2 | 2.52
0 | 1.04
0 | 0.651
2.15 | 2.34
0.85 | 1.1
2.2 | 2.22
1.15 | 1.65
1.1 | 1.51
1.25 | 2
1.3 | 2.27
1.05 | 2.64
0 | 0.79
0.95 | 1.03
0 | 0.57
1.15 | 2.2
1.25 | 1.59
2.4 | 3.1
1 | 1.06
1.15 | 1.58
0 | 0.831
0 | 0.274
1.1 | 1.25
0 | 1.49
0.95 | 1.59
0 | 0.502
2.1 | 2.48
1.3 | 1.98
1.1 | 2.16
2.3 | 2.36
1.15 | 1.48
0 | 0.795
2.3 | 2.53
1.9 | 2.38
1.05 | 1.25
0.95 | 1.9
0 | 0.505
0 | 1.03
1.1 | 1.65
0 | 0.669
1.3 | 1.56
0 | 0.395
1 | 1.68
1.3 | 1.95
2.2 | 3.11
0.95 | 1.75
2.4 | 2.47
1.3 | 2.17
1.05 | 1.68
1.2 | 1.37
0 | 0.357
1 | 1.32
2 | 2.14
3.9 | 3.93
1.2 | 2.19
1.2 | 1.61
0 | 0.752
1.2 | 1.92
2 | 2.15
1.2 | 1.74
0 | 0.826
0 | 0.899
1.1 | 1.83
1 | 1.74
2.4 | 2.74
1.1 | 2.2
0 | 0.676
2 | 2.24
0.95 | 1.3
0.85 | 0.968
1.1 | 2
1.25 | 1.49
2.3 | 2.36
2.6 | 3.55
3.75 | 3.79
0 | 0.643
0.95 | 1.9
1.25 | 2.38
1.1 | 1.41
0 | 0.537
1.3 | 1.68
1.25 | 1.95
0 | 1.21
2.3 | 2.91
0 | 0.932
0.75 | 1.07
0 | 1.05
1.2 | 1.45
1.15 | 2.1
2.3 | 3.03
1.9 | 2.73
1.2 | 2.24
1.7 | 2
1.2 | 2.29
0 | 0.571
2.6 | 2.99
1.15 | 1.61
1.25 | 2.87
0 | 0.892
0 | 0.254
1.1 | 1.77
2.2 | 2.63
1.1 | 1.78
0 | 0.747
0 | 1.19
1 | 1.9
0.95 | 1.04
1.1 | 2.02
2 | 2.13
2.2 | 2.51
1.6 | 1.62
0 | 0.76
1.1 | 2.03
1 | 1.78
0 | 0.819
1.3 | 1.54
1.25 | 1.63
1.1 | 2.02
1.2 | 2.27
0.95 | 1.19
0 | 0.155
0 | 0.597
2.3 | 2.37
0.95 | 1.48
0 | 0.753
1.25 | 1.93
2.1 | 2.55
0 | 1.08
0.9 | 1.66
0 | 0.252
1.3 | 1.99
2.2 | 2.41
2.3 | 2.44
2.4 | 3.09
1.1 | 2.11
1.1 | 1.54
1.15 | 1.36
1.05 | 2.07
0 | 0.613
1.2 | 1.81
2.4 | 2.63
1.25 | 1.39
2.25 | 2.58
1.2 | 2.12
1 | 1.25
2 | 2.33
2.4 | 2.44
2.2 | 2.25
0 | 1.4
1.05 | 1.43
1.1 | 1.69
1.1 | 1.85
0 | 0.98
2.5 | 3.14
2.15 | 2.99
2.3 | 2.96
0 | 0.703
0 | 0.847
1.2 | 1.51
2.5 | 3.14
2.3 | 2.56
1.95 | 2.45
1.3 | 1.74
2.6 | 2.87
1.05 | 1.32
0 | 0.73
1.15 | 1.94
0 | 0.56
1.9 | 2.21
