Number Goods: 24,  Number Bidders: 50,  Number Iterations: 2000
integral util | fractional util
14.3 | 14.5
3.4 | 4.51
12 | 12.8
13.9 | 14.4
15 | 16
8.6 | 9.9
10.5 | 10.9
17.5 | 18.4
7.5 | 8.61
15 | 15.8
10 | 10.9
10.9 | 12.4
13.5 | 14.3
5.05 | 5.76
6.1 | 7.38
11.7 | 12.7
3.9 | 4.95
16.1 | 17
15.6 | 16
5.95 | 6.27
18.8 | 19.4
15 | 15.7
15.6 | 16.5
3.6 | 3.83
8.8 | 9.84
4.7 | 6.12
3.45 | 4.4
13.2 | 13.3
10.5 | 11.4
7 | 7.25
7.2 | 7.66
11.4 | 12.8
8.75 | 9.69
11 | 11.6
16.1 | 17.1
7 | 7.87
17.3 | 18.3
7.2 | 7.62
10 | 10.1
5 | 5.98
11.2 | 12
13.8 | 13.9
8.8 | 10.4
9.1 | 10.1
4.8 | 5.48
2.5 | 3.7
10.8 | 11.6
17.2 | 17.7
8.05 | 8.23
15 | 15.3
9.6 | 10.2
5.4 | 5.91
14.1 | 16.5
2.4 | 2.82
6.25 | 6.96
12.7 | 12.8
15 | 15.2
8.05 | 8.62
15.6 | 16.4
15.6 | 16.4
14.6 | 15.6
12.6 | 13.8
13.8 | 13.9
20 | 21.6
10 | 11.1
8.75 | 9.64
19.2 | 20.1
20.2 | 21.4
16.4 | 17.7
6.9 | 8.09
6.9 | 7.32
4.2 | 5.85
7.6 | 8.27
10.8 | 11.9
6.6 | 7.03
5.75 | 5.79
5.5 | 7
4.4 | 5.18
5.95 | 8.02
5.2 | 6.39
13.8 | 14.5
12.5 | 13.4
6 | 7.2
11 | 12.5
12.5 | 12.8
6 | 6.68
8.4 | 9.4
9.2 | 9.26
11.5 | 11.8
4.8 | 5
16.2 | 17.4
6 | 7
6.9 | 6.95
9.2 | 10.1
6.9 | 6.92
8.4 | 9.24
18.3 | 19.9
11.9 | 14.3
13.1 | 14.5
4.6 | 5.41
Number Goods: 12,  Number Bidders: 250,  Number Iterations: 2000
integral util | fractional util
1.1 | 1.6
0 | 0.279
0 | 0.827
1.1 | 1.84
0 | 0.233
0 | 0.741
1.2 | 1.48
0 | 0.793
0.95 | 1.05
0 | 0.961
0.7 | 1.23
1.05 | 1.63
0 | 0.309
1.2 | 1.64
0 | 0.63
0.85 | 1.09
0 | 0.63
1.05 | 1.17
1 | 1.12
0 | 1.01
0 | 0.21
0 | 0.507
1.15 | 1.47
1.1 | 1.37
0 | 0.46
0.95 | 1.01
0 | 0.833
1.25 | 2.05
1.1 | 1.26
0 | 1.01
1.25 | 2.21
0 | 0.458
1.2 | 1.51
1.25 | 1.49
0 | 1.13
0 | 1.42
1 | 1.63
0 | 0.837
0 | 0.414
0 | 1.09
1.1 | 1.62
0 | 1.03
0 | 1.18
1.2 | 1.4
0 | 0.925
0 | 0.71
1 | 1.61
0 | 0.398
0.9 | 1.28
1.05 | 1.57
0 | 0.885
1.2 | 1.37
1.25 | 1.28
0 | 0.581
0 | 0.531
1.1 | 1.53
1.05 | 1.52
1 | 1.02
1.05 | 1.94
1.15 | 1.75
0 | 0.824
0 | 0.782
1.2 | 1.28
0 | 0.529
0 | 0.616
0.95 | 1.46
1.1 | 1.37
0 | 0.912
0 | 1.26
1.1 | 1.79
1.05 | 1.2
0 | 0.727
0 | 0.456
