Number Goods: 24,  Number Bidders: 100,  Number Iterations: 2000
6.6 | 8.02
4.9 | 6.58
6.5 | 7.2
2.2 | 2.32
5.5 | 5.62
4.6 | 4.87
5.25 | 5.74
6.25 | 7.15
5.5 | 6.14
6.4 | 7.73
5 | 5.25
6.9 | 7.4
5 | 5.76
4.8 | 5.08
3.75 | 5.36
2.4 | 3.18
5 | 5.25
Number Goods: 12,  Number Bidders: 100,  Number Iterations: 2000
integral util | fractional util
2.2 | 2.3
2.1 | 3.07
2.5 | 3.28
3.6 | 4.12
0 | 0.28
3 | 3.71
3.6 | 3.91
3.6 | 4.46
1 | 1.69
4.4 | 4.57
1.2 | 1.95
1.15 | 1.8
1.1 | 1.67
1.15 | 2.24
2.3 | 2.94
1.05 | 1.65
2.4 | 3.21
3.15 | 4.18
2.2 | 2.33
3.75 | 4.96
2.5 | 2.65
2.5 | 3.54
4.6 | 4.8
0.95 | 1.05
0 | 0.638
0.9 | 1.47
1.2 | 2.03
2 | 2.56
0 | 0.347
2.4 | 3.34
2.4 | 2.92
3.8 | 4.19
2.3 | 2.56
4.4 | 4.4
1.25 | 2.09
3.45 | 4.57
2.5 | 3.2
3.6 | 4.07
2.3 | 2.54
0.85 | 1.51
3.3 | 3.5
1.8 | 2.36
1.25 | 1.83
2.4 | 2.78
3.6 | 4.23
1.05 | 1.18
2.9 | 3.86
3.3 | 4.21
1 | 1.56
1.3 | 2.18
5 | 5.33
4.8 | 4.99
1.15 | 1.81
0 | 1.06
1.15 | 1.8
0 | 0.803
2.05 | 3.29
2.7 | 2.93
2.5 | 2.61
0 | 0.365
1.1 | 1.5
1.1 | 1.38
1.25 | 1.32
2.5 | 2.59
1.2 | 2.29
1.05 | 2.01
2.3 | 2.68
2.2 | 3.03
1.15 | 1.92
2.4 | 3.14
1.05 | 1.47
5 | 5.14
0 | 0.601
1.1 | 1.21
2 | 2.13
1.9 | 2.21
3.3 | 3.56
0 | 1.01
3.45 | 3.74
1.7 | 2.14
2.1 | 3.41
2.2 | 2.7
1.15 | 2.09
0 | 0.937
2.3 | 3.21
3 | 3.23
1.15 | 2.17
4.2 | 4.68
2.85 | 3.17
3.3 | 4.29
2.85 | 3.64
3.6 | 4.23
3.45 | 3.74
1.05 | 1.66
2.3 | 2.95
1.2 | 1.95
1.3 | 2.27
1 | 1.97
3.3 | 4.22
0 | 0.58
2.1 | 2.3
1.25 | 1.28
2.2 | 3.01
3.3 | 3.37
1.2 | 1.51
0.9 | 1.03
2 | 2.6
2.1 | 2.64
3.3 | 4.34
3.75 | 3.99
2.2 | 3.22
0 | 0.525
1.25 | 1.82
3.45 | 4.28
3.3 | 3.54
3.3 | 3.49
3.3 | 3.64
1.1 | 1.13
1.1 | 2.17
3.45 | 3.99
1.3 | 2.29
5.2 | 5.5
3.3 | 3.39
3.15 | 3.86
1 | 1.09
1.15 | 1.58
2.5 | 2.85
0 | 0.456
3.4 | 4.2
1.15 | 2.1
2.3 | 2.36
3.6 | 3.81
2.2 | 3.01
2.6 | 2.79
3.6 | 4.79
1.1 | 1.31
1 | 1.94
2.1 | 3.02
1.05 | 1.32
1.2 | 2.29
4.8 | 4.82
2.4 | 3.53
1 | 1.61
3.3 | 3.64
3.4 | 3.88
2.5 | 3.01
1.05 | 1.26
0 | 0.685
0 | 1.07
1.1 | 2.01
1.2 | 1.97
2.6 | 3.84
1.2 | 1.51
1.1 | 1.79
3.45 | 3.54
2.5 | 2.71
3.3 | 3.89
2.85 | 3.75
2 | 2.76
3.15 | 4.02
2.5 | 3.73
3.45 | 3.84
1.05 | 1.08
2.2 | 3.43
2.85 | 3.14
1.25 | 1.51
2.4 | 2.89
2.4 | 2.87
2 | 2.62
3.15 | 3.77
3.45 | 4.54
3.75 | 4.22
2.3 | 3.81
2.2 | 3.08
3.6 | 4.11
1.15 | 1.18
2.4 | 2.72
2.7 | 3.29
1.8 | 1.97
1.2 | 1.44
2.3 | 3.02
3.3 | 4.27
1.05 | 1.25
3.6 | 4.79
2.4 | 3.56
1.1 | 1.51
0 | 0.481
1.1 | 2.13
2.1 | 2.28
1.1 | 2.17
0 | 0.959
1.2 | 1.51
1.3 | 1.7
1.2 | 1.44
2 | 2.74
2.4 | 4.11
0 | 1
2.4 | 3.59
2.6 | 3.74
1.25 | 1.43
Number Goods: 45,  Number Bidders: 78,  Number Iterations: 200
integral util | fractional util
14.3 | 14.5
5.75 | 6.23
5.2 | 6.12
16.9 | 17.4
1.1 | 2.33
9.6 | 10.2
15.6 | 16
4.6 | 5.54
4.6 | 5.43
6.5 | 6.82
10.2 | 11.5
11.7 | 11.7
16.8 | 19.5
4.8 | 5.42
14.3 | 14.8
13.8 | 15.1
7.6 | 8.33
15 | 17.9
10 | 10.5
19.5 | 20.7
21.2 | 23.6
15.6 | 15.7
9.9 | 10.9
20 | 20
9.1 | 11
9.4 | 9.86
7.8 | 8.12
20.7 | 23.8
16.6 | 18.8
17.1 | 17.8
14.7 | 15
14.5 | 15.5
18.8 | 19.1
14.4 | 16.5
20.3 | 21.9
3.45 | 4.27
7.8 | 8.18
16.3 | 18.7
19.2 | 20.4
12 | 12.4
16.4 | 18.6
18 | 19
8.75 | 9.76
8.9 | 10.8
12.5 | 12.9
19.8 | 22.9
18.8 | 19.8
22.8 | 24.6
10.4 | 11.5
4.8 | 5.1
21.6 | 24.3
21.6 | 22.8
6 | 6.5
16.2 | 18
7.65 | 8.58
9.9 | 11.3
18.6 | 19.6
2.4 | 3.14
22.6 | 23.7
11.5 | 11.6
8.05 | 9.16
7.8 | 9.01
16.2 | 16.8
16.8 | 18.9
20.4 | 21
17.8 | 19.5
9.5 | 11.6
7.7 | 8.76
18.8 | 19.8
19.1 | 20.2
15.6 | 16.2
4.45 | 4.78
5.25 | 6.59
13.8 | 14.9
3.3 | 4.02
20.4 | 21.3
20.8 | 22.1
12.9 | 14.1
