Number Goods: 24,  Number Bidders: 250,  Number Iterations: 2000
integral util | fractional util
2.5 | 3.75
2.3 | 2.36
2.3 | 3.3
0 | 0.59
3.6 | 3.75
2.1 | 2.49
1.2 | 1.92
2.6 | 3.62
2.5 | 2.74
0 | 0.874
1.3 | 2.45
0 | 0.405
1.2 | 1.46
0 | 0.654
2 | 2.11
0 | 0.29
0 | 0.743
2.3 | 2.85
1.25 | 2.32
1.2 | 2.79
2.6 | 3.42
2.6 | 3.51
2.6 | 2.78
3.3 | 3.58
1.2 | 3.08
0 | 1.11
0 | 1.13
1.15 | 1.75
0 | 0.528
3.45 | 3.91
2.5 | 2.74
0 | 0.646
1.25 | 1.79
0 | 0.886
2.5 | 2.68
0 | 0.95
0 | 0.739
0 | 1.07
1.05 | 1.68
1.25 | 1.69
0 | 0.66
0 | 1.01
1.3 | 2.52
1.05 | 1.68
1.3 | 2
2.6 | 3.38
1.05 | 1.08
2.6 | 3.33
2.5 | 3.06
2.1 | 2.39
2.2 | 2.32
1.3 | 2.3
1.2 | 1.49
0.85 | 1.85
0 | 1.28
1.2 | 1.74
1.15 | 2.03
1.15 | 2.53
0 | 1.18
1.25 | 1.79
2.5 | 2.9
1.2 | 1.82
2.6 | 3.73
1.25 | 1.28
0 | 0.679
2.3 | 3.09
2.2 | 2.26
1.25 | 1.82
1.1 | 1.97
0 | 0.424
2.6 | 2.94
0 | 0.626
1.2 | 2.13
1.15 | 1.61
2.2 | 3.06
1.3 | 1.59
2.5 | 3.19
3.75 | 3.8
2.3 | 3.05
2.25 | 2.65
1.15 | 1.44
1.9 | 2.6
0 | 1.16
1.25 | 1.71
1.15 | 1.32
2.2 | 2.63
2.3 | 2.65
2.4 | 3.24
2.4 | 3.03
0 | 0.534
3.3 | 4.02
1.05 | 1.51
3.6 | 4.15
2.3 | 2.9
2.6 | 3.17
2.5 | 2.97
0 | 1.21
0 | 0.605
2.4 | 2.85
2.6 | 3.4
2.5 | 3.38
2 | 2.65
0 | 1.05
1.1 | 2.41
2.4 | 3.34
2.5 | 2.72
1.25 | 2.31
3.45 | 3.95
0 | 0.774
3.6 | 3.85
1.1 | 1.72
2.2 | 3.28
3.9 | 4.01
2.5 | 2.97
0 | 0.81
1.25 | 1.68
2.2 | 2.71
2.3 | 3.31
2.2 | 2.79
0 | 0.316
1.25 | 2.32
3.75 | 4.35
1.1 | 1.86
2.4 | 2.82
1.3 | 2.56
2.6 | 3.07
1.1 | 3.06
2.5 | 3.59
2.1 | 3.38
2.3 | 2.52
0 | 0.633
1.2 | 1.64
2.5 | 3.75
2.2 | 2.23
1.15 | 1.77
1.15 | 1.57
1.25 | 2.33
2.2 | 2.65
1.3 | 1.32
1.1 | 2.14
0 | 0.317
0 | 0.924
2.5 | 3.74
0 | 1.54
1.3 | 1.32
2.2 | 3.02
0 | 0.667
2.2 | 2.85
1.15 | 1.87
2.4 | 2.79
3.75 | 4.32
0 | 1.07
2.6 | 3.29
0 | 0.923
2.1 | 2.65
3.45 | 3.84
2.5 | 2.52
0 | 0.633
1.05 | 1.77
2.1 | 2.22
0 | 1.07
1.25 | 1.34
2.3 | 3.05
1.25 | 1.37
3.15 | 3.54
2.4 | 2.73
2.4 | 3.11
2.5 | 2.64
3.45 | 3.5
1.25 | 2.08
0 | 0.419
3.45 | 4.32
2.4 | 3.75
2.6 | 2.63
2.3 | 2.33
2.4 | 3.44
1.25 | 2.85
2.1 | 2.72
1.2 | 1.72
1.25 | 2.46
1.25 | 2
3.6 | 3.85
1.3 | 1.65
0 | 0.871
1.15 | 2.12
1.2 | 2.16
2.2 | 2.61
0 | 0.912
1.3 | 2.3
1.2 | 2.25
1.1 | 2.05
2.5 | 3.08
2.1 | 2.16
2.3 | 2.55
2.2 | 3.13
2.1 | 2.92
3.75 | 4.08
2.5 | 3.69
0 | 0.203
2.4 | 3.33
1.15 | 1.55
2.5 | 2.74
2.3 | 2.36
3.3 | 3.5
1.15 | 1.23
2.6 | 3.33
