Number Goods: 24,  Number Bidders: 400,  Number Iterations: 2000
integral util | fractional util
0 | 0.808
1.2 | 1.74
0 | 0.908
1.25 | 2.32
1.25 | 1.28
1.15 | 1.91
1.2 | 1.48
1.15 | 1.99
1.25 | 1.81
1.1 | 1.43
1.15 | 2.14
1.2 | 2
0 | 0.511
1.25 | 2.03
0 | 0.972
1.1 | 2.08
0 | 0.536
1.15 | 1.91
1.25 | 1.69
1.15 | 2.07
1.2 | 1.93
1.3 | 2.18
2.4 | 2.6
1.25 | 1.95
1.3 | 1.32
1.15 | 1.91
1.2 | 1.56
1.2 | 1.85
1.3 | 1.68
0 | 0.311
1.3 | 1.62
0 | 1.19
1.1 | 1.69
1 | 1.14
1.3 | 1.74
1.2 | 1.74
2.3 | 2.35
0 | 1.21
1.25 | 2.21
1.15 | 2.05
1.2 | 2.03
1.25 | 2.09
1.25 | 1.42
0 | 0.555
0 | 0.887
0 | 0.778
0 | 1.07
1.05 | 1.7
0 | 0.907
1.15 | 1.58
1.15 | 2.04
1.25 | 1.48
1.1 | 1.59
1.1 | 1.89
1.05 | 1.84
0 | 0.536
1.15 | 1.65
0 | 1.16
0 | 0.558
0 | 1.22
1.2 | 1.29
1.15 | 1.3
0 | 0.708
1.25 | 1.27
0 | 1.31
1.25 | 2.46
0 | 0.843
2.1 | 2.23
1 | 1.46
1.2 | 2.08
0 | 1.2
1.25 | 2.08
0 | 0.333
1.25 | 1.96
1.15 | 1.18
1.05 | 1.35
1.1 | 1.13
1.3 | 2.04
1.15 | 2.1
1.15 | 2.14
1.25 | 1.49
0 | 0.799
1.1 | 1.55
1.3 | 1.8
0 | 0.397
0 | 0.649
1.05 | 1.23
0 | 0.649
2.3 | 2.43
0 | 1.06
0 | 1.22
0 | 1.01
1.15 | 1.97
1.15 | 1.47
0 | 0.632
0 | 1.04
1.2 | 1.55
0 | 0.679
1.15 | 2.16
1.15 | 1.91
0 | 0.886
0 | 0.389
1.3 | 1.41
1.15 | 1.18
1.05 | 1.31
0 | 0.494
0 | 0.911
0 | 0.833
1.15 | 1.43
1.2 | 2.77
0 | 0.885
